objectid,filename,youtubeid,vimeoid,title,creator,date,isbn,subject,awards,booktype,keywords,identifier,type,format
coll001,theromanticideology.png,,,The Romantic Ideology: A Critical Investigation,"McGann, Jermome J.",1985-02-15,226558509,Romanticism - literary analysis,None,Analysis,"McGann, Jerome; anaylsis, romanticism; ideology", theromanticideology.png, Image;Stillimage, image/png;
coll002,coleridgesnotebooks.png,,,Coleridge's Notebooks: A Selection,"Coleridge, Samuel Taylor",2004-01-08,198712022,"Coleridge, Samuel Taylor - writings, misc.",None,Writings,"Coleridge, Samuel Taylor; collectionanthology, non-poetry", coleridgesnotebooks.png, Image;Stillimage, image/png;
coll003,williamblakecompletepoems.png,,,The Complete Poems,"Blake, William",1978-03-30,140422153,"Blake, William - poetry; Anthology - poetry",None,Writings,"Blake, William; collectection; anthology; poetry", williamblakecompletepoems.png, Image;Stillimage, image/png
coll004,collectedpoemsofwilliamwordsworth.png,,,The Collected Poems of William Wordsworth,"Wordsworth, William",1998-03-31,9781853264016,"Anthology - poetry; Wordsworth, William - poetry",None,Writings,"Wordsworth, William; collection; anthology; poetry", collectedpoemsofwilliamwordsworth.png, Image;Stillimage, image/png
coll005,lordbyronmajorworks.png,,,Lord Byron - The Major Works,"Gordon, George",2008-11-15,019953733X,"Anthology - poetry; Gordon, George - poetry",None,Writings,"Gordon, George; collection; anthology; poetry", lordbyronmajorworks.png, Image;Stillimage, image/png
coll006,readingnnationintheromanticperiod.png,,,The Reading Nation in the Romantic Period,"St. Clair, William",2007-01-22,521699444,British culture and attitudes,None,History,"St. Clair, William; public; analysis; history; culture", readingnnationintheromanticperiod.png, Image;Stillimage, image/png
coll007,thegreekrevolution.png,,,The Greek Revolution: A Critical Dictionary,Various,2021-03-25,674987438,British culture and attitudes,None,History,Multiple; history; Greek; Greece; revolution; culture, thegreekrevolution.png, Image;Stillimage, image/png
coll008,johnkeatsthemajorworks.png,,,"John Keats: The Major Works: Including Endymion, the Odes and Selected Letters","Keats, John",2009-02-15,199554889,"Anthology - poetry; Keats, John - poetry",None,Writings,"Keats, John; collection; anthology; poetry", johnkeatsthemajorworks.png, Image;Stillimage, image/png
coll009,coleridgecompletepoems.png,,,The Complete Poems,"Coleridge, Samuel Taylor",1997-10-01,9780140423532,"Anthology - poetry; Coleridge, Samuel Taylor - poetry",None,Writings,"Coleridge, Samuel Taylor; collection; anthology; poetry", coleridgecompletepoems.png, Image;Stillimage, image/png
coll010,slaveryandtheromanticimagination.png,,,Slavery and the Romantic imagination,"Lee, Debbie",2002-01-31,081223636X,"British culture and attitudes; Romanticism - literary analysis; ""Other"" - representation of",None,History,"Lee, Debbie; history; slavery; colonialism; revolution", slaveryandtheromanticimagination.png, Image;Stillimage, image/png
coll011,byronlifeandlegend.png,,,Byron: Life and Legend,"MacCarthy, Fiona",2002-11-13,374186294,"Gordon, George - Biography",None,Biography,"MacCarthy, Fiona; Gordon, George; biography", byronlifeandlegend.png, Image;Stillimage, image/png
coll012,romanticrepresenationsofbritishindia.png,,,Romantic representations of British India,"Franklin, Michael J.",2006-08-01,415378273,"British culture and attitudes; India - colonialism; Romanticism - literary analysis, ""Other"" - representation of",None,History,"Franklin, Michael J.; history; orientalism; colonialism; India", romanticrepresenationsofbritishindia.png, Image;Stillimage, image/png
coll013,radicalwordsworth.png,,,Radical Wordsworth: The Poet Who Changed the World,"Bate, Jonathan",2020-05-19,300169647,"Wordsworth, William - biography",None,Biography,"Bate, Jonathan; biography; Wordsworth, William", radicalwordsworth.png, Image;Stillimage, image/png
coll014,broadviewanthologyofromanticpoetry.png,,,The Broadview Anthology of Romantic Poetry,Various,2016-08-11,1554811317,"Anthology - poetry", broadviewanthologyofromanticpoetry.png, Image;Stillimage, image/png
coll016,eternityssunrise.png,,,Eternity's Sunrise: The Imaginative World of William Blake,"Damrosch, Leo",2016-10-25,300223641,"Blake, William - poetry; Anthology - poetry",None,Biography,"Damrosch, Leo; Blake, William; biography", eternityssunrise.png, Image;Stillimage, image/png
coll017,romanticismandthegothic.png,,,"Romanticism and the Gothic: genre, reception, and canon formation","Gamer, Michael",2000 - 09-04,521773288,British culture and attitudes; Romanticism - literary analysis,None,Analysis,"Gamer, Michael; analysis; culture; gothic", romanticismandthegothic.png, Image;Stillimage, image/png
coll018,johnkeats.png,,,John Keats: A New Life,"Roe, Nicholas",2012-11-13,300124651,"Keats, John - biography",None,Biography,"Roe, Nicholas; Biography; Keats, John", johnkeats.png, Image;Stillimage, image/png
coll019,romanticismintheshadowofwar.png,,,Romanticism in the shadow of war : literary culture in the Napoleonic war years,"Cox, Jeffery",2017-03-23,1107419832,"British culture and attitudes; French Revolution - 1789-1801; ""Other"" - representation of",None,History,"Cox, Jeffery; wars; culture; history; Napoleon; revolution; France", romanticismintheshadowofwar.png, Image;Stillimage, image/png
coll020,napoleonandenglishromanticism.png,,,Napoleon and English Romanticism,"Bainbridge, Simon",1995-11-24,521473365,British culture and attitudes; French Revolution - 1789-1801,None,History,"Bainbridge, Simon; history; wars; Napoleon; revolution; culture; France", napoleonandenglishromanticism.png, Image;Stillimage, image/png
